institutionCode,collectionCode,locationID,recordedBy,verbatimEventDate,continent,country,stateProvince,county,fieldNumber,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,stratGroup,stratFormation,stratMember,stratBed,bioZone,lithology
CASG,Fossil,71409,,,North America,USA,California,Santa Cruz,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Monterey,,,,
CASG,Fossil,71410,,,North America,USA,California,San Diego,`,Cenozoic,Cenozoic,Quaternary,Quaternary,Pleistocene,Pleistocene,,,,,,,,
CASG,Fossil,71419,,,North America,USA,California,Santa Cruz,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,Purisima,,,,
CASG,Fossil,71421,,,North America,USA,California,Santa Cruz,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,Purisima,,,,
CASG,Fossil,71422,,,North America,USA,California,San Mateo,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,Purisima,,,,
CASG,Fossil,71423,,,North America,USA,California,San Mateo,,Cenozoic,Cenozoic,Quaternary,Quaternary,Pleistocene,Pleistocene,,,,,,,,
CASG,Fossil,71427,,,North America,USA,California,San Mateo,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,Merced,,,,
CASG,Fossil,71428,,,North America,USA,California,San Mateo,,Cenozoic,Cenozoic,Neogene,Quaternary,Pliocene,Pleistocene,,,,Merced,,,,
CASG,Fossil,71429,,,North America,USA,California,San Mateo,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,Purisima,,,,
CASG,Fossil,71437,,,North America,USA,California,Los Angeles,,Cenozoic,Cenozoic,Quaternary,Quaternary,Pleistocene,Pleistocene,,,,Merced,,,,
CASG,Fossil,71455,,,North America,USA,California,Los Angeles,,Cenozoic,Cenozoic,Quaternary,Quaternary,Pleistocene,Pleistocene,,,,Palos Verdes ,,,,
CASG,Fossil,71462,,,North America,USA,California,Los Angeles,,Cenozoic,Cenozoic,Quaternary,Quaternary,Pleistocene,Pleistocene,,,,San Pedro,Timms Point,,,
CASG,Fossil,71468,,,North America,USA,California,Los Angeles,,Cenozoic,Cenozoic,Quaternary,Quaternary,Pleistocene,Pleistocene,,,,Palos Verdes,,,,"Upper Pleistocene Palos Verdes Sand unconformably overlying middle Pleist San Pedro Sand. Protected exposure, sandy bottom  "
CASG,Fossil,71479,,,North America,USA,California,Fresno,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,Jacalitos,,,,
CASG,Fossil,71480,,,North America,USA,California,San Bernardino,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,,,,,
CASG,Fossil,71481,,,North America,USA,California,Fresno,,Cenozoic,Cenozoic,,,,,,,,,,,,sandstone
CASG,Fossil,71482,,,North America,USA,California,Kings,,,,,,,,,,,,,,,
CASG,Fossil,71483,,,North America,USA,California,Fresno,,,,,,,,,,,,,,,
CASG,Fossil,71484,,,North America,USA,California,Kings,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Pliocene,,,,Etchegoin,,,,
CASG,Fossil,71485,,,North America,USA,California,San Luis Obispo,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Santa Margarita,,,,
CASG,Fossil,71486,,,North America,USA,California,Santa Cruz,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,Santa Margarita,,,,
CASG,Fossil,71487,,,North America,USA,California,San Mateo,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Pliocene,,,,Purisima,,,,
CASG,Fossil,71488,,,North America,USA,California,Kings,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Pliocene,,,,Temblor,,,,sandstone
CASG,Fossil,71489,,,North America,USA,California,Kings,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Avenal,,,,"sandstone, reddish"
CASG,Fossil,71493,,,North America,Canada,Alberta,,,Paleozoic,Paleozoic,Devonian,Devonian,,,,,,,,,,
CASG,Fossil,71494,,,North America,USA,California,Colusa,,Mesozoic,Mesozoic,Cretaceous,Cretaceous,,,,,,Paskenta,,,,
CASG,Fossil,71495,,,North America,USA,California,Kings ?,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Pliocene,,,,Avenal,,,,
CASG,Fossil,71496,,,North America,USA,Minnesota,Olmsted,,Paleozoic,Paleozoic,Ordovician,Ordovician,,,,,,Decorah Shale,,,,
CASG,Fossil,71497,,,North America,USA,Alabama,DeKalb,,Paleozoic,Paleozoic,Mississippian,Mississippian,,,,,,,,,,
CASG,Fossil,71498,,,North America,USA,Arizona,Gila,,,,Pennsylvanian,Pennsylvanian,,,,,,,,,,
CASG,Fossil,71499,,,North America,USA,Kentucky,,,Paleozoic,Paleozoic,Mississippian,Mississippian,,,,,,,,,,
